node_uuid,Label,Creator,Creator_Role,Date_Created,physical_location,File_format,Type,Extent,Physical_description,rights_statements,date_digital,local_identifier
c56d0987-b937-4fe2-8cd0-4702c8f9e43d,"Letter from Juan Petroff to Sheldon Jackson, March 6, 1888","Petroff, Juan",Sender,"March 6, 1888",Box 1 Folder 106,Text,Correspondence,1 page,5.125 x 8.125 in.,No Copyright - United States,12/4/2019,ZWU_SCA0067_18880306
82b09cc2-b421-4136-afdf-ba7542a2b709,"Letter from Mary Voorhees Jackson to Louise Jackson, June 20, 1889","Jackson, Mary (Voorhees)",Sender,"June 20, 1889",Box 1 Folder 107,Text,Correspondence,8 pages,5.125 x 8.125 in.,No Copyright - United States,12/4/2019,ZWU_SCA0067_18890620
630002c0-6267-4e02-8758-70838c7e7ea1,"Letter from Mary Voorhees Jackson to Louise Jackson, August 8, 1889","Jackson, Mary (Voorhees)",Sender,"August 8, 1889",Box 1 Folder 108,Text,Correspondence,6 pages,5.125 x 8.125,No Copyright - United States,12/4/2019,ZWU_SCA0067_18890808
73ce7c34-513b-466a-b359-94c55093a273,"Letter from Mary Voorhees Jackson to Louise Jackson, August 29, 1889","Jackson, Mary (Voorhees)",Sender,"August 29, 1889",Box 1 Folder 109,Text,Correspondence,6 pages,5.125 x 8.125 in.,No Copyright - United States,12/4/2019,ZWU_SCA0067_18890829
84463044-458d-4f1f-8e95-9ac03185c67a,"Letter from Mary Voorhees Jackson to Louise Jackson, September 24, 1889","Jackson, Mary (Voorhees)",Sender,"September 24, 1889",Box 1 Folder 110,Text,Correspondence,4 pages,5.125 x 8.125 in.,No Copyright - United States,12/4/2019,ZWU_SCA0067_18890924
11574483-be13-41cb-bd11-d646a12af8a5,"Letter from Mary Voorhees Jackson to Louise Jackson, October 3, 1889","Jackson, Mary (Voorhees)",Sender,"October 3, 1889",Box 1 Folder 111,Text,Correspondence,8 pages,5.125 x 8.125 in.,No Copyright - United States,12/4/2019,ZWU_SCA0067_18891003
748e9e52-18e9-40b9-b51e-27da4a032f89,"Letter from Sheldon Jackson to his Sister, November 19, 1889","Jackson, Sheldon, 1834-1909 (uri: http://id.loc.gov/authorities/names/n89631173)",Sender,"November 19, 1889",Box 1 Folder 112,Text,Correspondence,2 pages,7.875 x 9.875 in.,No Copyright - United States,12/4/2019,ZWU_SCA0067_18891119
91166602-d928-4db9-8bce-136e8339c9e5,"Letter from Sheldon Jackson to Mary Voorhees Jackson, August 21, 1897","Jackson, Sheldon, 1834-1909 (uri: http://id.loc.gov/authorities/names/n89631173)",Sender,"August 21, 1897",Box 1 Folder 113,Text,Correspondence,12 pages,8.375 x 10.875 in. ; 4.5 x 9.75,No Copyright - United States,12/4/2019,ZWU_SCA0067_18970821
a41c971e-76f1-4392-8d29-4f9e65935a28,"Letter from Sheldon Jackson to W. T. Harris, January 6, 1898","Jackson, Sheldon, 1834-1909 (uri: http://id.loc.gov/authorities/names/n89631173)",Sender,"January 6, 1898",Box 1 Folder 114,Text,Correspondence,2 pages,8 x 10.5 in.,No Copyright - United States,12/4/2019,ZWU_SCA0067_18980106
6fbf852d-5245-4a03-a1d0-18dca925a33c,"Letter from Sheldon Jackson to George Edwards, September 16, 1903","Jackson, Sheldon, 1834-1909 (uri: http://id.loc.gov/authorities/names/n89631173)",Sender,16-Sep-03,Box 1 Folder 115,Text,Correspondence,16 pages,8.125 x 10.625 in. ; 7.75 x 10 in.,No Copyright - United States,12/4/2019,ZWU_SCA0067_19030916
edc1ff0f-199f-4623-9c85-b3145a8c1769,"Letter from Knickerbocker Publishing Company to Sheldon Jackson, November 27, 1905",,Sender,27-Nov-05,Box 1 Folder 116,Text,Correspondence,1 page,8.625 x 11.125 in.,No Copyright - United States,12/4/2019,ZWU_SCA0067_19051127
e0e7149e-a44e-4f27-ae3a-0d3d36a07bfb,"Letter from J. H Dulles to Sheldon Jackson, December 29, 1905","Dulles, J.H.",Sender,29-Dec-05,Box 1 Folder 117,Text,Correspondence,1 page,8.125 x 6 in.,No Copyright - United States,12/4/2019,ZWU_SCA0067_19051229
96e94072-8293-4e74-aa20-b66bb4c42155,"Letter from Presbyterian Historical Society to Sheldon Jackson, April 4, 1909",,Sender,4-Apr-09,Box 1 Folder118,Text,Correspondence,2 pages,8.5 x 11 in.,No Copyright - United States,12/4/2019,ZWU_SCA0067_19090404
5b61b9ed-98dc-410a-bb6c-d8d2fdba3aa0,"Letter from Cassia Patten to Elizabeth Lesley Jackson, June 20, 1910","Patten, Cassia",Sender,20-Jun-10,Box 1 Folder 119,Text,Correspondence,4 pages,6.875 x 10.625 in.; 5.5 x 6.875 in.,No Copyright - United States,12/4/2019,ZWU_SCA0067_19100620
3c9d00d7-2bf2-4ed0-9c21-7f75e9468245,"Letter from E. G Bridgham to Delia Jackson, November 24, 1913","Bridgham, E.G.",Sender,24-Nov-13,Box 1 Folder 120,Text,Correspondence,2 pages,8.5 x 11.125 in.,No Copyright - United States,12/4/2019,ZWU_SCA0067_19131124
abd94f5f-8552-4e10-bcac-f4783794e032,"Letter from Thomas Riggs to Delia Jackson, January 2, 1919","Riggs, Thomas",Sender,2-Jan-19,Box 1 Folder 121,Text,Correspondence,2 pages,8 x 10.75 in.,No Copyright - United States,12/4/2019,ZWU_SCA0067_19190102
097fd029-8ff9-436a-b9ae-3105026ceb6a,"Letter from James H. Condit to Elizabeth Lesley Jackson, September 19, 1928","Condit, James H.",Sender,19-Sep-28,Box 1 Folder 122,Text,Correspondence,1 page,8.5 x 11 in.,No Copyright - United States,12/4/2019,ZWU_SCA0067_19280919
2cd77e92-f705-46ab-8a14-be6e237043eb,"List of Appointed Positions, Approx. 1879",,,1879,Box 2 Folder 8,Text,Ephemera,1 page,7.5 x 9.5 in.,No Copyright - United States,12/5/2019,ZWU_SCA0067_B02_F08_008
5ec18ef6-a333-4dc6-8e67-be80f9b5a98d,"Indenture for Property in Sitka, Alaska, Approx. 1890",,,1890,Box 2 Folder7,Text,Ephemera,4 pages,8.5 x 14.125 in.,No Copyright - United States,12/5/2019,ZWU_SCA0067_B02_F07_007
059f02e5-19fe-4703-85af-533189012295,"Extract the Records of the Presbytery of Southern Minnesota, September 26, 1868",,,"September 26, 1868",Box 2 Folder 6,Text,Ephemera,2 pages,8 x 12.5 in.,No Copyright - United States,12/5/2019,ZWU_SCA0067_B02_F06_006
d8d94f54-f8e5-46bd-b05e-143c6c7216f8,"Annotated History of the Presbyterian Mission in New Mexico, Approx. 1881",,,1881,Box 2 Folder 5,Text,Ephemera,2 pages,9.5 x 21 in.,No Copyright - United States,12/5/2019,ZWU_SCA0067_B02_F05_005
a46137a6-d391-4536-9891-bf66a02c7bda,"Annotated Envelope from from the Department of Interior, Date Unknown",,,Date Unknown,Box 2 Folder 4,Text,Ephemera,1 page,4 x 9 in.,No Copyright - United States,12/5/2019,ZWU_SCA0067_B02_F04_004
d583726c-f9fa-4f04-8e8b-cf7e70097094,Dr. Sheldon Jackson Correspondence Received,,,,Box 3 Folder 7,,Ephemera,1 page,,No Copyright - United States,12/9/2019,ZWU_SCA0067_B03_F07
5c27b7d0-3aa2-4eb6-9508-7f8dcef621a3,"Receipt for shoes, March 10, 1885",,,"March 10, 1885",Box 3 Folder 7_002,Text,Financial Documents,2 pages,7.75 x 5 in.,No Copyright - United States,12/9/2019,ZWU_SCA0067_B03_F07_002
80472187-68e1-41d3-9f71-82bc0447ea5c,"Account Reckoning for Sheldcon Jackson from Sitka Trading Company for the period of January 12, 1885 to March 15, 1885",,,"January 12, 1885 to March 15, 1885",Box 3 Folder 7_003,Text,Financial Documents,2 pages,8.75 x 14.125 in.,No Copyright - United States,12/9/2019,ZWU_SCA0067_B03_F07_003
a1916cb2-00c8-416b-940c-12db829ff286,"Account Reckoning for Sheldon Jackson from Sitka Trading Company for the period from August 11, 1884 to January 5, 1885 ",,,"August 11, 1884 to January 5, 1885 ",Box 3 Folder7_004,Text,Financial Documents,2 pages,8.75 x 14.125 in.,No Copyright - United States,12/9/2019,ZWU_SCA0067_B03_F07_004
17611309-f7b1-40b3-83a1-96ac4476d7d5,"Account Reckoning for Sheldon Jackson from North West Trading Company, Sitka, Alaska, for the period from January 1885 to March 13, 1885 ",,,"January 1885 to March 13, 1885 ",Box 3 Folder 7_005,Text,Financial Documents,3 pages,8.125 x 18.75 in.,No Copyright - United States,12/9/2019,ZWU_SCA0067_B03_F07_005
bf4ffc2f-eab5-4eb4-99e7-5804dd3de6c1,Recommendation for Request of $500 for the Board of Church Erection from New Mexico,,,,Box 3 Folder 7_006,Text,Financial Documents,1 page,8.125 x 5.5 in.,No Copyright - United States,12/9/2019,ZWU_SCA0067_B03_F07_006
de1be747-0b55-4755-8bd6-59cfe9e54f20,Receipt for Payment of $12.80 to Synod at Colorado Springs and Appeasements Paid to Various Churches,,,,Box 3 Folder 7_007,Text,Financial Documents,1 page,5.125 x 8.125 in.,No Copyright - United States,12/9/2019,ZWU_SCA0067_B03_F07_007
09eb855e-c33e-4593-ac29-9867e81ba3fd,Recommendation for Synodical Apeso for Payment to Reimburse Travellers,,,,Box 3 Folder 7_008,Text,Ephemera,2 pages,8.25 x 3 in.,No Copyright - United States,12/9/2019,ZWU_SCA0067_B03_F07_008
6181defd-51d3-44a0-b38e-6b68d6de9d3d,Receipt for Purchases for the Mission Home addressed to Mary Caplan,,,,Box 3 Folder 7_009,Text,Financial Documents,2 pages,6.5 x 9.625 in.,No Copyright - United States,12/9/2019,ZWU_SCA0067_B03_F07_009
9932bffb-af8b-4ea5-af7a-f9d10aba8e2b,List of States with Possible Payments,,,,Box 3 Folder 7_010,Text,Ephemera,1 page,7.75 x 9.75 in,No Copyright - United States,12/9/2019,ZWU_SCA0067_B03_F07_010
a3072417-e5ee-4187-9bba-4fff6e8e83f6,Record of the Commemoration of the 100th Anniversary of the Founding of Union College,,,,Box 3 Folder 8,Text,Ephemera,2 pages,8.5 x 11.5 in.,No Copyright - United States,12/9/2019,ZWU_SCA0067_B03_F08
e6dd8161-d9df-4831-babd-fdb6165a5b6b,"Records Pertaining to the Museum of Natural History and Ethnology in Sitka, Alaska, 1887-1919",,,1887-1919,Box 3 Folder 9,Text,Ephemera,128 pages,,No Copyright - United States,12/9/2019,ZWU_SCA0067_B03_F09
ba96b585-4965-4f0f-95ce-fea957106520,Records Pertaining to the Presbyterian Mission in Arizona,,,,Box 3 Folder10,Text,Ephemera,2 pages,5 x 8 in.,No Copyright - United States,12/9/2019,ZWU_SCA0067_B03_F10
ac490acc-352f-4c4e-a9d0-99ddd2027078,"Records Pertaining to the Presbyterian Mission in Colorado, 1877 - 1878",,,1877 - 1878,Box 3 Folder11,Text,Ephemera,56 pages,,No Copyright - United States,12/9/2019,ZWU_SCA0067_B03_F11
f48c4775-f78c-4da5-a5a7-898cc5325267,"Sermon, Sheldon Jackson, 1862","Jackson, Sheldon, 1834-1909 (uri: http://id.loc.gov/authorities/names/n89631173)",,1862,"Box 4, Folder 2",Text,Speeches,44 pages,4.125 x 6.5 in.,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F02
691f416b-77df-4e7c-802a-ce3cb24a16db,Statement and Extracts of the History of the Presbytery of Winona,,Sender,,"Box 4, Folder 3",Text,Ephemera,19 pages,,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F03
b1b63736-87c8-4a6b-80ed-00dd90fed79f,Synodical Papers and Church Organization,,,,"Box 4, Folder 4",Text,Ephemera,24 pages,,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F04
a597bd18-90c9-4d5d-9e04-fed9bb2f26cc,Transfer of Guardianship of Michael Healy Woolfe to Sheldon Jackson,,,,"Box 4, Folder 5",Text,Ephemera,4 pages,,No Copyright - United States,12/10/2019,ZWU_SCA0067_B04_F05
5a327503-a985-42fe-927c-72c39306cdba,"Memoranda Expenses 1887-1891, Notebook","Jackson, Sheldon, 1834-1909 (uri: http://id.loc.gov/authorities/names/n89631173)",,1887-1891,Box 2 Folder 9,Text,Financial Documents,135 pages,4.25 x 6.75 in.,No Copyright - United States,12/19/2019,ZWU_SCA0067_B02F09
6a225cd0-513c-4692-aadd-8eb78da0cb59,"Part III, Alaska Trip, 1886, Sheldon Jackson","Jackson, Sheldon, 1834-1909 (uri: http://id.loc.gov/authorities/names/n89631173)",,1886,Box 2 Folder 3,Text,Diaries,24 pages,4.5 x 6.5 in.,No Copyright - United States,12/5/2019,ZWU_SCA0067_B02_F03_003
