Arches URL,label,local_identifier,creator,creator_role,creator_lod,contributor,contributor_role,date_created,extent,physical_location,publisher,record_owner,language,description,note,rights_statements,rights,date_digital,related_item,original_filename,subject_loc,subjects_local,subject_lcnaf_personal_names,subjects_local_personal_names,subject_lcnaf_corporate_names,subject_lcnaf_geographic_names,term_aat_getty,type
https://arches.union.edu/do/e9293576-f43d-49c2-a860-62dfc046b082,Plan of the Colonnade Pearson no. 12,e9293576-f43d-49c2-a860-62dfc046b082,"Ramee, Joseph Jacques, 1764-1842",Architect,,,,1813,Architectural drawings,"42.8172,-73.9300",,,eng,"On Pearson's List of Plans as: ""Plan of the Colonnade like No. 8. Length same""; Pearson no. 12",North Colonnade; South Colonnade,No Copyright - United States,,,,,"Campus planning; Union College (Schenectady, N.Y.); Universities and colleges--New York--Schenectady",,,,,Schenectady - Schenectady County - New York,Architectural drawings (visual works),Photograph
https://arches.union.edu/do/41a51a43-d94b-4698-a933-4935d6c37d5c,"Front elevation of the President's House, Pearson no. 15",41a51a43-d94b-4698-a933-4935d6c37d5c,"Ramee, Joseph Jacques, 1764-1842",Architect,,,,1813,Architectural drawings,"42.8172,-73.9300",,,eng,"On Pearson's List of Plans as: ""Front elevation of President's House""; Pearson no. 15",President's House,No Copyright - United States,,,,,"Campus planning; Union College (Schenectady, N.Y.); Universities and colleges--New York--Schenectady",,,,,Schenectady - Schenectady County - New York,Architectural drawings (visual works),Photograph
https://arches.union.edu/do/589fb38b-4727-489a-8a8e-0ab0b93e54dc,Size of the Bricks to be used in the Columns Pearson no. 21,589fb38b-4727-489a-8a8e-0ab0b93e54dc,"Ramee, Joseph Jacques, 1764-1842",Architect,,,,1813,Structural drawings,"42.8172,-73.9300",,,eng,"On Pearson's List of Plans as: ""Size of the bricks to be used in the columns""; Pearson no. 21; possibly either colonnades or Central Building",North Colonnade; South Colonnade; Central Building,No Copyright - United States,,,,,"Campus planning; Union College (Schenectady, N.Y.); Universities and colleges--New York--Schenectady",,,,,Schenectady - Schenectady County - New York,Architectural drawings (visual works),Photograph
https://arches.union.edu/do/4d2c3c46-dbff-4666-a688-2e7bc262c403,Sketches of the Campus and Miscellaneous Buildings,4d2c3c46-dbff-4666-a688-2e7bc262c403,"Ramee, Joseph Jacques, 1764-1842",Architect,,,,1813,Site plans,"42.8172,-73.9300",,,eng,"Pencil sketches of front elevation of the Round Building, campus overview; verso of Pearson no. 22; title assigned by cataloger",Union College Campus Overview; Round Building,No Copyright - United States,,,,,"Campus planning; Union College (Schenectady, N.Y.); Universities and colleges--New York--Schenectady",,,,,Schenectady - Schenectady County - New York,Architectural drawings (visual works),Photograph
https://arches.union.edu/do/d78f81a1-ec34-4b50-9655-9a8801a9c3ce,Sketches of the Campus and Miscellaneous Buildings Detail B,d78f81a1-ec34-4b50-9655-9a8801a9c3ce,"Ramee, Joseph Jacques, 1764-1842",Architect,,,,1813,Site plans,"42.8172,-73.9300",,,eng,Detail of sketch of campus overview; verso of Pearson no. 22; title assigned by cataloger,Union College Campus Overview,No Copyright - United States,,,,,"Campus planning; Union College (Schenectady, N.Y.); Universities and colleges--New York--Schenectady",,,,,Schenectady - Schenectady County - New York,Architectural drawings (visual works),Photograph
https://arches.union.edu/do/92f8a133-0d16-4a63-85df-89fa5a81263d,"Plan of the Campus and Sketches, Plans of Miscellaneous Buildings Overview",92f8a133-0d16-4a63-85df-89fa5a81263d,"Ramee, Joseph Jacques, 1764-1842",Architect,,,,1813,Architectural drawings; Site plans,"42.8172,-73.9300",,,eng,"Campus overview, miscellaneous sketches and plans; verso of Pearson no. 25; title assigned by cataloger",Union College Campus Overview; Central Building; North College; North Colonnade; Round Building; South College; South Colonnade,No Copyright - United States,,,,,"Campus planning; Union College (Schenectady, N.Y.); Universities and colleges--New York--Schenectady",,,,,Schenectady - Schenectady County - New York,Architectural drawings (visual works),Photograph
https://arches.union.edu/do/4a2e6610-8245-4fdb-81c5-00f7fb09c5bf,"Sections, Elevation and Plan of Unidentified Building",4a2e6610-8245-4fdb-81c5-00f7fb09c5bf,"Ramee, Joseph Jacques, 1764-1842",Architect,,,,1813,Architectural drawings,"42.8172,-73.9300",,,eng,"Section, plan and front elevation of unidentified building; noted on Pearson's List of Plans by Codman Hislop as: ""Ampitheater or lecture hall (oval) at end of colonnade (?)""; Pearson no. 44; title assigned by cataloger",,No Copyright - United States,,,,,"Campus planning; Union College (Schenectady, N.Y.); Universities and colleges--New York--Schenectady",,,,,Schenectady - Schenectady County - New York,Architectural drawings (visual works),Photograph
https://arches.union.edu/do/f88c6bcc-dc24-4853-8f9c-257e7b356fc8,Plan of Unidentified Building,f88c6bcc-dc24-4853-8f9c-257e7b356fc8,"Ramee, Joseph Jacques, 1764-1842",Architect,,"Pearson, Jonathan, 1813-1887",Compiler,1813,Architectural drawings,"42.8172,-73.9300",,,eng,"Plan of unidentified building; note on drawing in Pearson's hand: ""Not Remay's [sic]""; verso of Pearson no. 27 ; title assigned by cataloger",,No Copyright - United States,,,,,"Campus planning; Union College (Schenectady, N.Y.); Universities and colleges--New York--Schenectady",,,,,Schenectady - Schenectady County - New York,Architectural drawings (visual works),Photograph
https://arches.union.edu/do/0427b668-a687-41f8-94c6-eaca4da7d006,Dimension and profile of the Cupola to the Chapel,0427b668-a687-41f8-94c6-eaca4da7d006,"Ramee, Joseph Jacques, 1764-1842",Architect,,"Pearson, Jonathan, 1813-1887",Compiler,1813,Structural drawings,"42.8172,-73.9300",,,eng,"Structural drawing for Central building; note on drawing in Pearson's hand: ""(Imperfect ?)""; possibly either Central Building or Round Building; not listed on Pearson's List of Plans",Central Building; Round Building,No Copyright - United States,,,,,"Campus planning; Union College (Schenectady, N.Y.); Universities and colleges--New York--Schenectady",,,,,Schenectady - Schenectady County - New York,Architectural drawings (visual works),Photograph
https://arches.union.edu/do/08e95584-be7c-40d9-93f4-ed2f2b4450d4,Union College Section on the Line GH of Plan,08e95584-be7c-40d9-93f4-ed2f2b4450d4,"Ramee, Joseph Jacques, 1764-1842",Architect,,,,1813,Architectural drawings,"42.8172,-73.9300",,,eng,"Section of Central Building; On Pearson's List of Plans as:  ""A Section of the Chapel Showing timbre Roof etc""; Pearson no. 3",Central Building,No Copyright - United States,,,,,"Campus planning; Union College (Schenectady, N.Y.); Universities and colleges--New York--Schenectady",,,,,Schenectady - Schenectady County - New York,Architectural drawings (visual works),Photograph
https://arches.union.edu/do/a0eb52b8-cca9-41ef-80fc-9e2065aa74b4,Union College Side Elevation and Section on Line L.M.,a0eb52b8-cca9-41ef-80fc-9e2065aa74b4,"Ramee, Joseph Jacques, 1764-1842",Architect,,,,1813,Architectural drawings,"42.8172,-73.9300",,,eng,"Side Elevation and Section of Central Building; on Pearson's List of Plans as: ""A Side Elevation and Section of the Chapel etc""; Pearson no. 4",Central Building,No Copyright - United States,,,,,"Campus planning; Union College (Schenectady, N.Y.); Universities and colleges--New York--Schenectady",,,,,Schenectady - Schenectady County - New York,Architectural drawings (visual works),Photograph
https://arches.union.edu/do/3f0f0f60-5b78-4ba2-9874-9b5840b5c0bc,Plan of the Grounds Adjacent to the President's House,3f0f0f60-5b78-4ba2-9874-9b5840b5c0bc,"Ramee, Joseph Jacques, 1764-1842",Architect,,,,1813,Landscape architecture drawings; Site plans,"42.8172,-73.9300",,,eng,"On Pearson's List of Plans as: ""Detached plan of a garden (back of President's house?)""; Pearson no. 7; title assigned by cataloger",President's House; Union College Campus Overview,No Copyright - United States,,,,,"Campus planning; Union College (Schenectady, N.Y.); Universities and colleges--New York--Schenectady",,,,,Schenectady - Schenectady County - New York,Architectural drawings (visual works),Photograph
https://arches.union.edu/do/019f2102-ff6c-4831-9394-0f398ed835bb,Plan of the Colonnade Pearson no. 8,019f2102-ff6c-4831-9394-0f398ed835bb,"Ramee, Joseph Jacques, 1764-1842",Architect,,,,1813,Architectural drawings,"42.8172,-73.9300",,,eng,"On Pearson's List of Plans as: ""Ground plan of the Colonnade, quite different from the present arrangement. length about 270 ft.""; Pearson no. 8",North Colonnade; South Colonnade,No Copyright - United States,,,,,"Campus planning; Union College (Schenectady, N.Y.); Universities and colleges--New York--Schenectady",,,,,Schenectady - Schenectady County - New York,Architectural drawings (visual works),Photograph
https://arches.union.edu/do/b3fdaed9-093b-4b89-8b69-117b38de91d9,Plan of the First Story of the Central Building and Miscellaneous Sketches,b3fdaed9-093b-4b89-8b69-117b38de91d9,"Ramee, Joseph Jacques, 1764-1842",Architect,,,,1813,Architectural drawings,"42.8172,-73.9300",,,eng,Partial plan of first story of the Central Building; verso of Pearson no. 12; title assigned by cataloger,Central Building,No Copyright - United States,,,,,"Campus planning; Union College (Schenectady, N.Y.); Universities and colleges--New York--Schenectady",,,,,Schenectady - Schenectady County - New York,Architectural drawings (visual works),Photograph
https://arches.union.edu/do/dc0d76ac-1b60-468f-a63e-bb4ffe9226a6,First Grand Plan of the President's House,dc0d76ac-1b60-468f-a63e-bb4ffe9226a6,"Ramee, Joseph Jacques, 1764-1842",Architect,,,,1813,Architectural drawings,"42.8172,-73.9300",,,eng,"On Pearson's List of Plans as: ""First Grand plan of President's House""; Pearson no. 13",President's House,No Copyright - United States,,,,,"Campus planning; Union College (Schenectady, N.Y.); Universities and colleges--New York--Schenectady",,,,,Schenectady - Schenectady County - New York,Architectural drawings (visual works),Photograph
https://arches.union.edu/do/658dd0a4-2c43-4a41-a615-6abcf51e8f57,Campus and Other Miscellaneous Sketches,zz,"Ramee, Joseph Jacques, 1764-1842",Architect,,,,1813,Site plans,"42.8172,-73.9300",,,eng,Plan of campus (portion); verso of Pearson no. 13; title assigned by cataloger,Union College Campus Overview,No Copyright - United States,,,,,"Campus planning; Union College (Schenectady, N.Y.); Universities and colleges--New York--Schenectady",,,,,Schenectady - Schenectady County - New York,Architectural drawings (visual works),Photograph
